,Label,ROC_CARDIOLOGIST,ROC_MUSE,PR_CARDIOLOGIST,PR_MUSE,PR_diff,ROC_diff
31,Left anterior fascicular block,0.8004706000602554,0.6966484020650451,0.6865958096490352,0.5705172573281247,0.11607855232091047,0.10382219799521031
35,Acute pericarditis,0.8280090030671179,0.7666411444604917,0.42401715842796645,0.37748902047697686,0.04652813795098959,0.06136785860662619
44,Delta wave,0.9077930145159425,0.9004266542131912,0.687066500733948,0.6719700692488753,0.015096431485072781,0.007366360302751285
45,Wolff-Parkinson-White (Pre-excitation syndrome),0.9091317747684173,0.901871978650467,0.6934236809230436,0.6783838125528161,0.015039868370227527,0.007259796117950357
33,2nd degree AV block - mobitz 1,0.823826910409539,0.8126407643654596,0.4596079465402756,0.44757152671999995,0.012036419820275646,0.011186146044079415
13,Bradycardia,0.9544651449727145,0.9426729351662266,0.9464904466628284,0.9376284943207932,0.00886195234203524,0.011792209806487874
65,ST elevation (posterior - V7-V8-V9),0.8367131042755055,0.8366426977954272,0.4191771304040756,0.4104885496815966,0.008688580722479022,7.040648007827777e-05
50,Supraventricular tachycardia,0.7955844664540317,0.7838777908343126,0.39716727258372414,0.3902730880197318,0.006894184563992323,0.011706675619719054
27,Premature atrial complex,0.8724846072313788,0.8686463360820429,0.6602953624798661,0.6539085163167935,0.0063868461630726125,0.003838271149335881
34,"ST depression (inferior - II, III, aVF)",0.8150625416142181,0.8160645172801427,0.4798150787176151,0.4742490984826502,0.005565980234964907,-0.001001975665924637
70,Early repolarization,0.8227098554588186,0.803398123325355,0.4314774978974364,0.4261320820720989,0.005345415825337485,0.0193117321334636
43,Right ventricular hypertrophy,0.8215961968715835,0.8209956705806493,0.5739966650003279,0.5689055876496729,0.005091077350654949,0.0006005262909342113
62,ST upslopping,0.8087886047134413,0.7993473567470392,0.436489802739013,0.43281139899207777,0.0036784037469352326,0.009441247966402111
